0,0 VDA Information Security Assessment (DE),3,,,,,,,
,,,"Dieser Fragenkatalog, basierend auf der ISO 27002, kann auf dem Weg zur eigenen Zertifizierung, für Selbstauskünfte der Lieferanten, für Vor-Ort-Audits bei Lieferanten oder interne Audits, genutzt werden.",,,,,,
,,,(c) Arbeitskreis Informationsschutz des Verband der Automobilindustrie e. V. (VDA),,,,,,
,,,Lizenz: http://creativecommons.org/licenses/by-nd/3.0/de/,,,,,,
,,,"VDA und das VDA Logo sind eingetragene Markenzeichen des Verband der Automobilindustrie e. V. (VDA), die zur Nutzung in verinice lizenziert sind. Alle Rechte vorbehalten.",,,,,,
,,,Version 2.0,,,,,,
1,1 General Aspects,,,,,,,,
1.1,1.1 Freigabe eines Informationssicherheitsmanagementsystems (ISMS),3,(Referenz zu ISO 27001: 4 und 5.1),2,2,,2,3,2.0
,,,,,,,,,
,,,<h1>In wie weit ist ein ISMS durch das Top Management freigegeben und sein Umfang dokumentiert?</h1>,,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig 
- Es existiert kein Informationssicherheitsmanagementsystem (ISMS).",,,,,,
,,,"Level 1:  Durchgeführt
- Ein ISMS existiert in Ansätzen bzw. es wurde mit dem Aufbau und seiner Umsetzung begonnen.
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,,
,,,"Level 2:  Gesteuert
- Es ist ein dokumentiertes ISMS vorhanden.
- Das ISMS wurde vom Vorstand bzw. der Geschäftsleitung freigegeben.
- Das ISMS wird regelmäßig auf seine Angemessenheit überprüft.
- Für den Prozess der Erstellung und Pflege des ISMS sind Verantwortliche benannt.
- Den Prozessverantwortlichen stehen ausreichend Ressourcen zur Verfügung.
- Der in Level 2 beschriebene Prozess ist in allen Punkten dokumentiert (Versionskontrolle, Änderungsmanagement, Freigabeprozesse etc.).",,,,,,
,,,"Level 3:  Etabliert
- Der im Level 2 beschriebene Prozess zur Erstellung und Pflege des ISMS ist im Unternehmen ganzheitlich definiert und umgesetzt. 
- Der Prozess ist über standardisierte Schnittstellen in andere zentrale Prozesse des Unternehmens integriert (z.B. zentrales Änderungsmanagement).
- Der bis Level 3 beschriebene Prozess ist gemäß einem im Unternehmen standardisierten Dokumentations-verfahren dokumentiert.",,,,,,
,,,"Level 4:  Vorhersagbar
- Für den in Level 3 beschriebenen Prozess werden Kennzahlen definiert und gemessen, welche die Effektivität und Wirksamkeit des Prozesses beschreiben.
- Aus diesen Kennzahlen werden Ziele zur Verbesserung der Effektivität und Wirksamkeit abgeleitet.
- Abgeleitet aus den Kennzahlen werden Korrekturmaßnahmen durchgeführt, um die zuvor definierten Ziele zu erreichen.
- Das in Level 4 beschriebene Verfahren ist gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,"Level 5:  Optimierend
- Es werden, zusätzlich zu Level 4, Projekte mit eigenen Ressourcen (Personal und Budget) gestartet, um den Prozess fortwährend zu optimieren.
- In diesen Projekten werden weitere Ziele zur Verbesserung definiert, welche sich jedoch explizit an den Unternehmenszielen ausrichten.
- Die identifizierten Verbesserungen werden getestet, umgesetzt und sind gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,,,,,,,
1.2,1.2 IS-Risikomanagement,3,(Referenz zu ISO 27001: 8.2 und 6.1.2),1,1,,2,3,2.0
,,,,,,,,,
,,,"<h1>In wie weit ist ein IS-Risikomanagement sowie die Risikobehandlung definiert, dokumentiert und umgesetzt? </h1>",,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig
- Es ist kein IS-Risikomanagement vorhanden. Eine Risikobehandlung ist weder definiert, noch umgesetzt oder dokumentiert.",,,,,,
,,,"Level 1:  Durchgeführt 
- Risiken werden fallweise identifiziert, behandelt und auch dokumentiert. Ein IS-Risikomanagement ist ansatzweise bzw. rudimentär vorhanden.
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,,
,,,"Level 2:  Gesteuert
- Ein IS-Risikomanagement ist durchgängig im Unternehmen vorhanden und umfasst alle Geschäftsprozesse mit Relevanz zur Informationssicherheit.
- Eine Richtlinie zum IS-Risikomanagement ist unternehmensweit vorhanden und adressiert folgende Aspekte:
  - Risiko-relevante Kriterien (z.B. finanzielle Auswirkungen, Reputationsschäden, strafrechtliche Auswirkungen) sind definiert und werden systematisch auf die unterschiedlichen Risikofelder angewandt.
  - Eine Risikobehandlung ist definiert und findet ihre Umsetzung unter Anwendung und Berücksichtigung der Risiko-relevanten Kriterien.
  - Die Risikobehandlung wird durchgängig dokumentiert (Versionskontrolle, Änderungsmanagement, Freigabeprozesse etc.).",,,,,,
,,,"Level 3:  Etabliert
- Der im Level 2 beschriebene Prozess IS-Risikomanagement ist im Unternehmen ganzheitlich definiert und umgesetzt. 
- Der Prozess ist über standardisierte Schnittstellen in andere zentrale Prozesse des Unternehmens integriert (z.B. zentrales Änderungsmanagement, Enterprise Risk Management).
- Der bis Level 3 beschriebene Prozess ist, gemäß einem im Unternehmen standardisierten Dokumentations-verfahren, dokumentiert.",,,,,,
,,,"Level 4:  Vorhersagbar
- Für den in Level 3 beschriebenen Prozess werden Kennzahlen definiert und gemessen, welche die Effektivität und Wirksamkeit des Prozesses beschreiben.
- Aus diesen Kennzahlen werden Ziele zur Verbesserung der Effektivität und Wirksamkeit abgeleitet.
- Abgeleitet aus den Kennzahlen werden Korrekturmaßnahmen durchgeführt, um die zuvor definierten Ziele zu erreichen.
- Das in Level 4 beschriebene Verfahren ist gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,"Level 5:  Optimierend
- Es werden, zusätzlich zu Level 4, Projekte mit eigenen Ressourcen (Personal und Budget) gestartet, um den Prozess fortwährend zu optimieren.
- In diesen Projekten werden weitere Ziele zur Verbesserung definiert, welche sich jedoch explizit an den Unternehmenszielen ausrichten.
- Die identifizierten Verbesserungen werden getestet, umgesetzt und sind gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,,,,,,,
1.3,1.3 Wirksamkeit des ISMS,3,"(Referenz zu ISO 27001: 8.1, 9.1, 10.1 und 10.2)",1,1,,2,3,2.0
,,,,,,,,,
,,,<h1>In wie weit wird die Wirksamkeit des ISMS sichergestellt?</h1>,,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig
- Die Wirksamkeit des ISMS eines Unternehmens wird nicht überprüft und ist damit nicht sichergestellt.",,,,,,
,,,"Level 1:  Durchgeführt 
- Vereinzelt und sporadisch wird die Wirksamkeit des ISMS eines Unternehmens überprüft. 
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,,
,,,"Level 2:  Gesteuert
- Die Wirksamkeit des ISMS eines Unternehmens wird regelmäßig geprüft.
- Es sind nachhaltig Aktivitäten innerhalb der sicherheitsrelevanten Prozesse eingeführt, die die Wirksamkeit von Maßnahmen sicherstellen.
- Die Durchführung von Überprüfung zur Wirksamkeit eines ISMS wird regelmäßig auf ihre Angemessenheit überprüft.
- Für den Prozess der Erstellung und Pflege von Wirksamkeitstests sind Verantwortliche benannt.
- Den Prozessverantwortlichen stehen ausreichend Ressourcen zur Verfügung.
- Der in Level 2 beschriebene Prozess ist in allen Punkten dokumentiert (Häufigkeit, Vorgehensmodell, Freigabeprozesse, Änderungs-Management etc.).",,,,,,
,,,"Level 3:  Etabliert
- Der im Level 2 beschriebene Prozess zur Sicherstellung der Wirksamkeit von Maßnahmen zur Informationssicherheit ist im Unternehmen ganzheitlich definiert und umgesetzt. 
- Der Prozess ist über standardisierte Schnittstellen in andere zentrale Prozesse des Unternehmens integriert (z.B. zentrales Änderungsmanagement, Enterprise Risk Management).
- Der bis Level 3 beschriebene Prozess ist gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,"Level 4:  Vorhersagbar
- Für den in Level 3 beschriebenen Prozess werden Kennzahlen definiert und gemessen, welche die Effektivität und Wirksamkeit des Prozesses beschreiben.
- Aus diesen Kennzahlen werden Ziele zur Verbesserung der Effektivität und Wirksamkeit abgeleitet.
- Abgeleitet aus den Kennzahlen werden Korrekturmaßnahmen durchgeführt, um die zuvor definierten Ziele zu erreichen.
- Das in Level 4 beschriebene Verfahren ist gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,"Level 5:  Optimierend
- Es werden, zusätzlich zu Level 4, Projekte mit eigenen Ressourcen (Personal und Budget) gestartet, um den Prozess fortwährend zu optimieren.
- In diesen Projekten werden weitere Ziele zur Verbesserung definiert, welche sich jedoch explizit an den Unternehmenszielen ausrichten.
- Die identifizierten Verbesserungen werden getestet, umgesetzt und sind gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,,,,,,,
5,5 Information Security Policies,,,,,,,,
5.1,5.1 Informationssicherheitsrichtlinie,3,(Referenz zu ISO 27002: Control 5.1.1 und 5.1.2),2,2,,2,3,2.0
,,,,,,,,,
,,,"<h1>In wie weit sind Richtlinien zur Informationssicherheit erstellt, veröffentlicht (intern und an externe Geschäftspartner), verteilt und werden sie in regelmäßigen Zeitabständen überprüft?
</h1>",,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig 
- Es existieren keine bzw. nur unvollständige Richtlinien/Regelungen zur Informationssicherheit.",,,,,,
,,,"Level 1:  Durchgeführt
- Umfassende Richtlinien/Regelungen zur Informationssicherheit sind im Unternehmen vorhanden.
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,,
,,,"Level 2:  Gesteuert
- Es existiert eine Sicherheitspolitik in der die Ziele des Unternehmens hinsichtlich des Informationsschutzes definiert sind.
- Die Sicherheitspolitik ist von der Geschäftsführung unterschrieben.
- Die Sicherheitspolitik und Richtlinien/Regelungen zur Informationssicherheit werden jedem Mitarbeiter des Unternehmens zentral (z.B. im Intranet) zur Verfügung gestellt oder regelmäßig an die Mitarbeiter verteilt. 
- Für den Prozess der Erstellung und Pflege der Sicherheitspolitik und Richtlinien/Regelungen zur Informationssicherheit sind Verantwortliche benannt.
- Den Prozessverantwortlichen stehen ausreichend Ressourcen zur Verfügung.
- Der in Level 2 beschriebene Prozess ist in allen Punkten dokumentiert (Versionskontrolle, Änderungsmanagement, Freigabeprozesse etc.).",,,,,,
,,,"Level 3:  Etabliert
- Der im Level 2 beschriebene Prozess zur Erstellung und Pflege der Sicherheitspolitik und Richtlinien/Regelungen zur Informationssicherheit ist im Unternehmen ganzheitlich definiert und umgesetzt. 
- Der Prozess ist über standardisierte Schnittstellen in andere zentrale Prozesse des Unternehmens integriert (z.B. zentrales Änderungsmanagement).
- Der bis Level 3 beschriebene Prozess ist gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,"Level 4:  Vorhersagbar
- Für den in Level 3 beschriebenen Prozess werden Kennzahlen definiert und gemessen, welche die Effektivität und Wirksamkeit des Prozesses beschreiben.
- Aus diesen Kennzahlen werden Ziele zur Verbesserung der Effektivität und Wirksamkeit abgeleitet.
- Abgeleitet aus den Kennzahlen werden Korrekturmaßnahmen durchgeführt, um die zuvor definierten Ziele zu erreichen.
- Das in Level 4 beschriebene Verfahren ist gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.",,,,,,
,,,"Level 5:  Optimierend
- Es werden, zusätzlich zu Level 4, Projekte mit eigenen Ressourcen (Personal und Budget) gestartet, um den Prozess fortwährend zu optimieren.
- In diesen Projekten werden weitere Ziele zur Verbesserung definiert, welche sich jedoch explizit an den Unternehmenszielen ausrichten.
- Die identifizierten Verbesserungen werden getestet, umgesetzt und sind gemäß einem im Unternehmen standardisierten Dokumentationsverfahren dokumentiert.  ",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
6,6 Organization of Information Security,,,,,,,,
6.1,6.1 Zuweisung der Verantwortung für Informationssicherheit,3,(Referenz zu ISO 27002: Control 6.1.1),1,1,,2,3,2.0
,,,,,,,,,
,,,<h1>In wie weit sind die Verantwortlichkeiten für Informationssicherheit definiert und zugewiesen?</h1>,,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig 
- Es existiert keine Informationssicherheitsorganisation bzw. Informationssicherheitsfunktion vorhanden",,,,,,
,,,"Level 1:  Durchgeführt
- Personen, die sich nicht hauptsächlich mit der Informationssicherheit beschäftigen, befassen sich zusätzlich mit dem Thema. 
  Die Vorgehensweise ist weder strukturiert noch organisiert.",,,,,,
