0,0 VDA Information Security Assessment (EN),3,,,,,,,
,,,"This list of questions, based on the ISO 27002, could be used on the way of a the own certification, for self declarations of suppliers and for on-site audits of suppliers or internal audits.",,,,,,
,,,(c) Arbeitskreis Informationsschutz des Verband der Automobilindustrie e. V. (VDA),,,,,,
,,,Lizenz: http://creativecommons.org/licenses/by-nd/3.0/de/,,,,,,
,,,"VDA und das VDA Logo sind eingetragene Markenzeichen des Verband der Automobilindustrie e. V. (VDA), die zur Nutzung in verinice lizenziert sind. Alle Rechte vorbehalten.",,,,,,
,,,Version 2.0,,,,,,
1,1 General Aspects,,,,,,,,
1.1,1.1 Release of an Information Security Management System (ISMS),3,(Reference to ISO 27001: 4 and 5.1),2,2,,2,3,2.0
,,,,,,,,,
,,,<h1>To what extent is an ISMS approved by the Top Management and is the scope documented?</h1>,,,,,,
,,,,,,,,,
,,,Please choose a maturity level 0-5 or na for not applicable.,,,,,,
,,,,,,,,,
,,,"Level 0:  Incomplete 
- No Information Security Management System (ISMS) exists. ",,,,,,
,,,"Level 1:  Performed
- An ISMS exists in a rudimental form or rather is in the beginning of set-up and implementation.
  The approach does not follow a structured or organized form.",,,,,,
,,,"Level 2:  Managed
- A documented ISMS is existing.
- The ISMS was approved by top management or management board.
- The ISMS is reviewed regularly to its adequacy.
- Responsible staff is named for the process of creation and maintenance of the ISMS.
- Process managers are provided with sufficient resources.
- The process described within level 2 is documented in all items (version control, change management, approval process).",,,,,,
,,,"Level 3:  Established
- The described process in the 2nd level regarding creation and maintenance of the ISMS is entirely defined and implemented within the company.
- The process is integrated into other central processes within the company using standardized interfaces (e.g. central change management).
- The described process up to level 3 is documented in accordance with a standardized company documentation process.",,,,,,
,,,"Level 4:  Predictable
- Key Performance Indicators describing the efficiency and effectiveness for the 3rd level process are defined and measured.
- Objectives for the improvement of efficiency and effectiveness are derived from these key performance indicators.
- Corrective measures derived from these indicators are carried out in order to achieve the defined objectives.
- The process described in the 4th level is documented in accordance with the standardized company documentation process.",,,,,,
,,,"Level 5:  Optimized
- In addition to the 4th level projects are started including their own resources (staff and budget) in order to optimize the process continuously.
- In these projects further objectives for improvements which are explicitly aligned with the company's overall objectives are defined.
- The identified improvements are tested, implemented and documented in accordance with the standardized company documentation process. ",,,,,,
,,,,,,,,,
1.2,1.2 IS Risk Management,3,(Reference to ISO 27001: 8.2 and 6.1.2),1,1,,2,3,2.0
,,,,,,,,,
,,,"<h1>To what extent is an Information Security risk management as well as risk response defined, documented and implemented?</h1>",,,,,,
,,,,,,,,,
,,,Please choose a maturity level 0-5 or na for not applicable.,,,,,,
,,,,,,,,,
,,,"Level 0:  Incomplete
- No risk management process for information security aspects is in place. Risk response is neither defined nor implemented or documented.",,,,,,
,,,"Level 1:  Performed 
- Risks are identified occasionally, treated and also documented. An information security risk management is rudimentary in place.
  The approach does not follow a structured or organized form.",,,,,,
,,,"Level 2:  Managed
- Information security risk management is entirely present and covers all business processes with relevance for information security. 
- An IS risk management policy is entirely present throughout the company and addresses the following aspects:
  - Risk-relevant criteria (e.g. financial impact, reputational loss, criminal impacts) are defined and applied systematically within the diverse fields of risk. 
  - Risk response is defined and implemented based on risk-relevant criteria.
  - Risk response is continuously documented (version control, change management, approval process, etc.).",,,,,,
,,,"Level 3:  Established
- The described process in the 2nd level regarding information security risk management is entirely defined and implemented within the company.
- The process is integrated into other central processes within the company using standardized interfaces (e.g. global change management, enterprise risk management).
- The described process up to level 3 is documented in accordance with a standardized company documentation process.
",,,,,,
,,,"Level 4:  Predictable
- Key Performance Indicators describing the efficiency and effectiveness for the 3rd level process are defined and measured.
- Objectives for the improvement of efficiency and effectiveness are derived from these key performance indicators.
- Corrective measures derived from these indicators are carried out in order to achieve the defined objectives.
- The process described in the 4th level is documented in accordance with the standardized company documentation process.",,,,,,
