0,0 VDA Information Security Assessment (DE),3,,,,,,,2.1.3
,,,"Dieser Fragenkatalog, basierend auf der ISO 27002, kann auf dem Weg zur eigenen Zertifizierung, für Selbstauskünfte der Lieferanten, für Vor-Ort-Audits bei Lieferanten oder interne Audits, genutzt werden.",,,,,,
,,,(c) Arbeitskreis Informationsschutz des Verband der Automobilindustrie e. V. (VDA),,,,,,
,,,Lizenz: http://creativecommons.org/licenses/by-nd/3.0/de/,,,,,,
,,,"VDA und das VDA Logo sind eingetragene Markenzeichen des Verband der Automobilindustrie e. V. (VDA), die zur Nutzung in verinice lizenziert sind. Alle Rechte vorbehalten.",,,,,,
,,,Version 2.1.3,,,,,,
1,1 General Aspects,,,,,,,,2.1.1
1.1,1.1 Freigabe eines Informationssicherheitsmanagementsystems (ISMS),3,(Referenz zu ISO 27001: 4 und 5.1),1,1,,2,3,2.1.1
,,,,,,,,,
,,,<h1>In wie weit ist ein ISMS durch das Top Management freigegeben und sein Umfang dokumentiert?</h1>,,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig 
Ein Prozess ist nicht implementiert oder der Prozesszweck wird nicht erreicht. Es gibt nur geringe oder keine Anzeichen dafür, dass der Prozesszweck systematisch erreicht wird.",,,,,,
,,,"Level 1:  Durchgeführt
- Der realisierte Prozess erfüllt seinen (Prozess-) Zweck.
- Nachweise, dass das Prozessergebnis erreicht wird, sind in der Form einer Leistungserbringung an sich vorhanden.
- Grundlegende Tätigkeiten (Basispraktiken) sind vorhanden, werden durchgeführt und liefern geeignete Arbeitsergebnisse. 

Hierzu gehört u.a.: 
+ Definition der Inhalte eines ISMS, wie z.B.:
   - Scope Definition
   - Anforderungsmanagement
   - SOA (Statement of Applicability), Anwendbarkeitserklärung
   - Risiko Management (siehe auch Control 1.2)
   - Risiko-orientiertes Vorgehen mit Lebenszyklus-Betrachtung
   - Awareness Aspekte
   - Dokumentation
+ Freigabe des ISMS durch das Top Management (z.B. Vorstand,  Geschäftsleitung)
+ Implementierung des ISMS
+ Regelmäßige Überprüfung des ISMS auf seine Angemessenheit",,,,,,
,,,"Level 2:  Gesteuert
Steuerung der Prozessdurchführung (PA 2.1):
- Die Leistungsziele des Prozesses sind definiert und bekannt gemacht.
- Die Ausführung des Prozesses wird geplant, überwacht und bei Bedarf angepasst.
- Die Verantwortlichkeiten und Befugnisse sind definiert, zugewiesen und kommuniziert.
- Notwendige Ressourcen werden ermittelt und bereitgestellt.
- Die Schnittstellen zwischen den Beteiligten werden gesteuert.

Management der Arbeitsprodukte (PA 2.2):
- Die Anforderungen an die Arbeitsergebnisse und deren Dokumentation und Überwachung  sind definiert.
- Die Arbeitsergebnisse werden ermittelt, dokumentiert und kontrolliert. 
- Die Arbeitsergebnisse werden überprüft und angepasst.

Hierzu gehören u.a. folgende Dokumente (GWP):
+ Prozessdokumentation
+ Prozessplan
+ Qualitätsplan, -aufzeichnungen
+ Prozessdurchführungsaufzeichnungen",,,,,,
,,,"Level 3:  Etabliert (eingeführt)
Prozessdefinition (PA 3.1):
- Ein Standardprozesses ist definiert.
- Der Prozess ist über Schnittstellen mit weiteren Prozessen des Unternehmens verbunden.
- Die Rollen und Kompetenzen für den Prozess sind festgelegt.
- Die erforderliche Infrastruktur und Arbeitsumgebung sind ermittelt.
- Geeignete Methoden zur Überwachung des Prozesses sind ermittelt.

Prozessanwendungen bzw. Prozessumsetzung (PA 3.2):
- Ein definierter Prozess ist bereitgestellt.
- Die Rollen, Verantwortlichkeiten und Befugnisse zur Prozessausführung sind zugeordnet.
- Die Ressourcen sind mit den notwendigen Kompetenzen und Fähigkeiten ausgestattet.
- Die Arbeitsumgebungen und Infrastrukturen zur Prozessausführung werden bereitgestellt, gesteuert und gepflegt.
- Geeignete Daten werden zur Analyse der Wirksamkeit erfasst.

Hierzu gehören u.a. folgende Dokumente (GWP):
+ Prozessdokumentation
+ Prozessplan
+ Qualitätsaufzeichnungen
+ Richtlinien und Standards
+ Prozessdurchführungsaufzeichnungen",,,,,,
,,,"Level 4:  Vorhersagbar
Prozessmessung (PA 4.1):
- Die für die Messung des Prozesses notwendigen Informationen sind identifiziert.
- Die Ziele für die Prozessmessung sind abgeleitet.
- Für die Verbesserung des Prozesses sind Kennzahlen definiert.
- Die Produkt- und Prozessmesswerte werden ermittelt und ausgewertet.

Prozesskontrolle (PA 4.2):
- Analyse und Steuerungstechniken sind definiert.
- Die Parameter zur Steuerung der Prozessausführung sind definiert.
- Die Messergebnisse zu Produkten und Prozessen werden analysiert.
- Korrekturmaßnahmen werden bestimmt und umgesetzt.
- Die Prozesskontrollgrenzen werden bei Bedarf angepasst.

Hierzu gehören u.a. folgende Dokumente (GWP):
+ Prozessdokumentation
+ Prozesssteuerungsplan
+ Prozessverbesserungsplan
+ Prozessmessplan
+ Prozessdurchführungsaufzeichnungen",,,,,,
,,,"Level 5:  Optimierend
Prozessinnovation (PA 5.1):
- Ziele zur Prozessverbesserung sind definiert. 
- Die Messdaten des Prozesses werden analysiert.
- Es werden Prozessverbesserungsmöglichkeiten aus Innovationen und Best Practices identifiziert.
- Aus neuen Technologien und Prozesskonzepten werden Prozessverbesserungsmöglichkeiten abgeleitet.
- Eine Umsetzungsstrategie ist definiert.

kontinuierliche Optimierung (PA 5.2):
- Die Auswirkungen von vorgeschlagenen Änderungen werden bewertet.
- Die Umsetzung von vereinbarten Änderungen wird gesteuert.
- Die Wirksamkeit von Prozessveränderungen wird beurteilt.

Hierzu gehören u.a. folgende Dokumente (GWP):
+ Prozessverbesserungsplan
+ Prozessmessplan
+ Prozessdurchführungsaufzeichnungen",,,,,,
,,,,,,,,,
1.2,1.2 IS-Risikomanagement,3,(Referenz zu ISO 27001: 8.2 und 6.1.2),1,1,,2,3,2.1.3
,,,,,,,,,
,,,"<h1>In wie weit ist ein Informationssicherheits-Risikomanagement sowie die Risikobehandlung definiert, dokumentiert und umgesetzt? </h1>",,,,,,
,,,,,,,,,
,,,Geben Sie den Reifegrad-Level 0-5 oder na für not applicable ein.,,,,,,
,,,,,,,,,
,,,"Level 0:  Unvollständig 
Ein Prozess ist nicht implementiert oder der Prozesszweck wird nicht erreicht. Es gibt nur geringe oder keine Anzeichen dafür, dass der Prozesszweck systematisch erreicht wird.",,,,,,
