0,0 Information Security Assessment,,"ISA provides the basis for
- a self-assessment to determine the state of information security in an organization (e.g. company)
- audits performed by internal departments (e.g. Internal Audit, Information Security)
- TISAXⓇ Assessments (Trusted Information Security Assessment Exchange, https://enx.com/tisax/)
ISA consists of several tabs, the content and function of which are explained in the tab “Definitions”. The corresponding actual requirements can be found in the tabs “Information Security”, “Prototype Protection” and “Data Protection”.

We recommend gaining an overview of the individual ISA tabs by using the “Definitions” tab. 
Then, commence with the “Information Security” tab.

The authors of this document wish you every success.


Publisher: VERBAND DER AUTOMOBILINDUSTRIE e. V. (VDA, German Association of the Automotive Industry); Behrenstr. 35; 10117 Berlin; www.vda.de",,,,,,6.0.1
100,100 Appendix,,,,,,,,6.0.1
100.1,100.1 Maturity levels,,"The answer to the control questions is a maturity level in a generic maturity model used to quantify the maturity of the corresponding processes. Determination of the maturity level requires that objective evidence of compliance with the requirements of the respective level is provided during the assessment. This is achieved, for example, by means of work products resulting from the processes of the control questions or by means of interview statements by persons carrying out the process.",,,,,,6.0.1
100.1.0,100.1.0 Maturity level 0: Incomplete,,<b>Principle</b>,,,,,,6.0.1
,,,"A process does not exist, is not followed or not suitable to achieve the objective.",,,,,,
,,,<b>Definition</b>,,,,,,
,,,A process is not implemented or fails to achieve its process purpose. Little or no evidence exists of any systematic achievement of the process purpose.,,,,,,
,,,<b>Possible evidence (GWP)</b>,,,,,,
,,,"+ Process documentation
+ Process plan
+ Quality plan/records
+ Process implementation records",,,,,,
,,,<b>Example</b>,,,,,,
,,,,,,,,,
100.1.1,100.1.1 Maturity level 1: Performed,,<b>Principle</b>,,,,,,6.0.1
,,,A process achieving its objectives is followed. Process documentation and process implementation evidence are available.,,,,,,
,,,<b>Definition</b>,,,,,,
,,,"- The implemented process achieves its (process) purpose.
- The intended base practices are verifiably performed.",,,,,,
,,,<b>Possible evidence (GWP)</b>,,,,,,
,,,+ Work products providing evidence of process outcomes.,,,,,,
,,,<b>Example</b>,,,,,,
,,,,,,,,,
